CATEGORY,SECTION,AVG_QTY_STRUK_MONTH_BEFORE,AVG_QTY_STRUK_MONTH_AFTER,AVG_QTY_STRUK_MONTH_GROWTH,AVG_STRUK_MONTH_BEFORE,AVG_STRUK_MONTH_AFTER,AVG_STRUK_MONTH_GROWTH,PURCHASE_FREQUENCY_BEFORE,PURCHASE_FREQUENCY_AFTER,PURCHASE_FREQUENCY_GROWTH,SPT_BEFORE,SPT_AFTER,SPT_GROWTH,SPB_BEFORE,SPB_AFTER,SPB_GROWTH,BUYER_COUNT_BEFORE,BUYER_COUNT_AFTER,BUYER_COUNT_GROWTH,PENETRATION_BEFORE,PENETRATION_AFTER,PENETRATION_GROWTH
1721 - CHILLI,STAPLE NEED,1.25,1.2,-0.04,2736.5,2886.0,0.0546,1.21,1.34,0.1074,17324.0,16897.0,-0.0246,20903.0,22636.0,0.0829,4536.0,6463.0,0.4248,0.1794,0.2089,0.1644
1722 - TOMATO,STAPLE NEED,1.17,1.18,0.0085,942.5,949.67,0.0076,1.17,1.25,0.0684,15331.0,15331.0,0.0,17861.0,19123.0,0.0707,1618.0,2284.0,0.4116,0.064,0.0738,0.1531
1723 - SOY SAUCE,STAPLE NEED,1.59,1.53,-0.0377,2856.5,2968.0,0.039,1.3,1.45,0.1154,33720.0,30853.0,-0.085,43872.0,44625.0,0.0172,4391.0,6156.0,0.402,0.1736,0.199,0.1463
1724 - LIQUID SAUCE & VINEGAR,STAPLE NEED,1.18,1.15,-0.0254,1008.5,1090.67,0.0815,1.13,1.25,0.1062,20187.0,18901.0,-0.0637,22785.0,23542.0,0.0332,1787.0,2627.0,0.4701,0.0707,0.0849,0.2008
1725 - DRESSING,STAPLE NEED,1.58,1.64,0.038,564.0,725.67,0.2866,1.14,1.24,0.0877,18433.0,18588.0,0.0084,21045.0,23136.0,0.0994,988.0,1749.0,0.7702,0.0391,0.0565,0.445
1811 - CANNED MEAT,STAPLE NEED,1.15,1.13,-0.0174,250.5,263.67,0.0526,1.09,1.17,0.0734,20058.0,20697.0,0.0319,21893.0,24146.0,0.1029,459.0,678.0,0.4771,0.0182,0.0219,0.2033
1812 - CANNED SEAFOOD,STAPLE NEED,1.41,1.36,-0.0355,930.0,930.67,0.0007,1.19,1.24,0.042,22437.0,23289.0,0.038,26615.0,28784.0,0.0815,1568.0,2259.0,0.4407,0.062,0.073,0.1774
1813 - CANNED VEGETABLE,STAPLE NEED,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,11900.0,11300.0,-0.0504,11900.0,11300.0,-0.0504,2.0,3.0,0.5,0.0001,0.0001,0.0
1814 - CANNED FRUIT,STAPLE NEED,1.25,1.43,0.144,4.0,2.33,-0.4175,1.0,1.0,0.0,35162.0,34871.0,-0.0083,35162.0,34871.0,-0.0083,8.0,7.0,-0.125,0.0003,0.0002,-0.3333
1821 - DRIED MEAT,STAPLE NEED,1.18,1.21,0.0254,114.5,118.0,0.0306,1.27,1.35,0.063,19413.0,19674.0,0.0134,24561.0,26481.0,0.0782,181.0,263.0,0.453,0.0072,0.0085,0.1806
1915 - PASTA,STAPLE NEED,2.57,2.55,-0.0078,1833.5,2069.0,0.1284,1.24,1.33,0.0726,12807.0,12469.0,-0.0264,15839.0,16634.0,0.0502,2965.0,4653.0,0.5693,0.1172,0.1504,0.2833
1921 - INSTANT SOUP,STAPLE NEED,1.35,1.35,0.0,67.0,76.0,0.1343,1.12,1.18,0.0536,13848.0,14068.0,0.0159,15463.0,16533.0,0.0692,120.0,194.0,0.6167,0.0047,0.0063,0.3404
1922 - INSTANT RICE,STAPLE NEED,1.5,1.22,-0.1867,5.0,6.0,0.2,1.11,1.12,0.009,108600.0,57961.0,-0.4663,120667.0,65206.0,-0.4596,9.0,16.0,0.7778,0.0004,0.0005,0.25
