SUBCATEGORY,CATEGORY,SECTION,AVG_QTY_STRUK_MONTH_BEFORE,AVG_QTY_STRUK_MONTH_AFTER,AVG_QTY_STRUK_MONTH_GROWTH,AVG_STRUK_MONTH_BEFORE,AVG_STRUK_MONTH_AFTER,AVG_STRUK_MONTH_GROWTH,PURCHASE_FREQUENCY_BEFORE,PURCHASE_FREQUENCY_AFTER,PURCHASE_FREQUENCY_GROWTH,SPT_BEFORE,SPT_AFTER,SPT_GROWTH,SPB_BEFORE,SPB_AFTER,SPB_GROWTH,BUYER_COUNT_BEFORE,BUYER_COUNT_AFTER,BUYER_COUNT_GROWTH
2214D - TRADITIONAL CRISPY SNACK,2214 - TRADITIONAL SNACK,SNACK,1.16,1.15,-0.0086,1001.0,986.0,-0.015,1.23,1.32,0.0732,16767.0,16538.0,-0.0137,20555.0,21791.0,0.0601,1633.0,2245.0,0.3748
2214E - TRADITIONAL FRUIT & VEGE SNACK,2214 - TRADITIONAL SNACK,SNACK,1.07,1.09,0.0187,142.5,124.0,-0.1298,1.14,1.14,0.0,17633.0,17205.0,-0.0243,20101.0,19632.0,-0.0233,250.0,326.0,0.304
2214F - TRADITIONAL NUTS,2214 - TRADITIONAL SNACK,SNACK,1.15,1.18,0.0261,483.5,574.67,0.1886,1.21,1.31,0.0826,19220.0,19904.0,0.0356,23203.0,25976.0,0.1195,801.0,1321.0,0.6492
2214G - TRADITIONAL STICK,2214 - TRADITIONAL SNACK,SNACK,1.23,1.14,-0.0732,97.5,85.33,-0.1248,1.22,1.24,0.0164,15158.0,14181.0,-0.0645,18474.0,17623.0,-0.0461,160.0,206.0,0.2875
2214H - TRADITIONAL SWEET TOFFEE,2214 - TRADITIONAL SNACK,SNACK,1.0,,,0.5,,,1.0,,,16200.0,,,16200.0,,,1.0,,
2215A - CASSAVA 40-80G,2215 - CASSAVA,SNACK,1.27,1.35,0.063,1118.0,1141.33,0.0209,1.19,1.24,0.042,10606.0,11311.0,0.0665,12574.0,14068.0,0.1188,1886.0,2753.0,0.4597
2215B - CASSAVA 100-190G,2215 - CASSAVA,SNACK,1.19,1.18,-0.0084,1019.5,990.33,-0.0286,1.22,1.27,0.041,18212.0,17997.0,-0.0118,22236.0,22812.0,0.0259,1670.0,2344.0,0.4036
2216A - SEAWEED 3-10G,2216 - SEAWEED,SNACK,1.41,1.74,0.234,1622.5,2065.67,0.2731,1.3,1.42,0.0923,16424.0,20195.0,0.2296,21309.0,28678.0,0.3458,2501.0,4364.0,0.7449
2216B - SEAWEED 11-40G,2216 - SEAWEED,SNACK,1.1,1.32,0.2,48.0,48.67,0.014,1.08,1.16,0.0741,28903.0,41486.0,0.4354,31176.0,48071.0,0.5419,89.0,126.0,0.4157
2217A - CORN 35-95G,2217 - CORN,SNACK,1.21,1.21,0.0,829.5,760.33,-0.0834,1.15,1.21,0.0522,11168.0,11237.0,0.0062,12822.0,13605.0,0.0611,1445.0,1884.0,0.3038
2217B - CORN 100-200G,2217 - CORN,SNACK,1.69,1.24,-0.2663,2386.0,1871.0,-0.2158,1.21,1.24,0.0248,20742.0,15905.0,-0.2332,25001.0,19738.0,-0.2105,3959.0,4523.0,0.1425
6228A - PROCESSED MEAT PACK,6228 - PROCESSED MEAT,SNACK,1.53,1.58,0.0327,504.0,503.33,-0.0013,1.2,1.27,0.0583,14684.0,14452.0,-0.0158,17579.0,18308.0,0.0415,842.0,1192.0,0.4157
1511A - RICE BAG 1-3KG,1511 - RICE,STAPLE NEED,1.06,1.09,0.0283,118.5,30.0,-0.7468,1.35,1.17,-0.1333,41684.0,46476.0,0.115,56452.0,54322.0,-0.0377,175.0,77.0,-0.56
1511B - RICE BAG 5KG,1511 - RICE,STAPLE NEED,1.3,1.25,-0.0385,1120.0,401.33,-0.6417,1.79,1.43,-0.2011,98118.0,95862.0,-0.023,175547.0,137402.0,-0.2173,1252.0,840.0,-0.3291
1512C - SUGAR BAG 1KG,1512 - SUGAR,STAPLE NEED,2.05,2.33,0.1366,993.5,1049.0,0.0559,1.71,1.89,0.1053,35916.0,40498.0,0.1276,61363.0,76498.0,0.2466,1163.0,1666.0,0.4325
1512E - OTHERS SUGAR,1512 - SUGAR,STAPLE NEED,1.02,1.05,0.0294,22.0,27.0,0.2273,1.1,1.08,-0.0182,18227.0,19206.0,0.0537,20050.0,20743.0,0.0346,40.0,75.0,0.875
