BRAND,SUBCATEGORY,CATEGORY,SECTION,AVG_QTY_STRUK_MONTH_BEFORE,AVG_QTY_STRUK_MONTH_AFTER,AVG_QTY_STRUK_MONTH_GROWTH,AVG_STRUK_MONTH_BEFORE,AVG_STRUK_MONTH_AFTER,AVG_STRUK_MONTH_GROWTH,PURCHASE_FREQUENCY_BEFORE,PURCHASE_FREQUENCY_AFTER,PURCHASE_FREQUENCY_GROWTH,SPT_BEFORE,SPT_AFTER,SPT_GROWTH,SPB_BEFORE,SPB_AFTER,SPB_GROWTH,BUYER_COUNT_BEFORE,BUYER_COUNT_AFTER,BUYER_COUNT_GROWTH
WAFELLO,2227D - WAFER BISCUIT 100-145G,2227 - WAFER BISCUIT,BISC & CONFECTIONARY,1.21,1.29,0.0661,251.0,296.33,0.1806,1.18,1.27,0.0763,11859.0,12714.0,0.0721,14040.0,16124.0,0.1484,424.0,701.0,0.6533
DIASWEET,2227E - WAFER BISCUIT 150-260G,2227 - WAFER BISCUIT,BISC & CONFECTIONARY,1.0,1.0,0.0,1.0,0.67,-0.33,2.0,1.0,-0.5,26900.0,26900.0,0.0,53800.0,26900.0,-0.5,1.0,2.0,1.0
NISSIN,2227E - WAFER BISCUIT 150-260G,2227 - WAFER BISCUIT,BISC & CONFECTIONARY,1.82,2.07,0.1374,11.0,14.0,0.2727,1.16,1.4,0.2069,24500.0,26702.0,0.0899,28368.0,37383.0,0.3178,19.0,30.0,0.5789
WAFELLO,2227E - WAFER BISCUIT 150-260G,2227 - WAFER BISCUIT,BISC & CONFECTIONARY,1.0,,,0.5,,,1.0,,,33500.0,,,33500.0,,,1.0,,
KHONG GUAN,2227F - WAFER BISCUIT 300-350G,2227 - WAFER BISCUIT,BISC & CONFECTIONARY,1.03,1.08,0.0485,54.0,46.67,-0.1357,1.11,1.13,0.018,28551.0,30701.0,0.0753,31789.0,34663.0,0.0904,97.0,124.0,0.2784
TOP,2227F - WAFER BISCUIT 300-350G,2227 - WAFER BISCUIT,BISC & CONFECTIONARY,1.0,1.0,0.0,2.0,1.33,-0.335,1.0,1.0,0.0,12750.0,13000.0,0.0196,12750.0,13000.0,0.0196,4.0,4.0,0.0
LUCKY,2228B - STICK BISCUIT 18-35G,2228 - STICK BISCUIT,BISC & CONFECTIONARY,1.7,1.28,-0.2471,196.5,95.67,-0.5131,1.12,1.13,0.0089,16871.0,12726.0,-0.2457,18943.0,14323.0,-0.2439,350.0,255.0,-0.2714
NYAM-NYAM,2228B - STICK BISCUIT 18-35G,2228 - STICK BISCUIT,BISC & CONFECTIONARY,1.27,1.53,0.2047,159.0,201.0,0.2642,1.1,1.12,0.0182,6824.0,8093.0,0.186,7509.0,9054.0,0.2058,289.0,539.0,0.8651
PEJOY,2228B - STICK BISCUIT 18-35G,2228 - STICK BISCUIT,BISC & CONFECTIONARY,1.14,1.19,0.0439,238.5,113.0,-0.5262,1.21,1.15,-0.0496,10605.0,11103.0,0.047,12840.0,12802.0,-0.003,394.0,294.0,-0.2538
PEPERO,2228B - STICK BISCUIT 18-35G,2228 - STICK BISCUIT,BISC & CONFECTIONARY,1.14,1.34,0.1754,43.0,57.67,0.3412,1.21,1.18,-0.0248,19667.0,22696.0,0.154,23823.0,26710.0,0.1212,71.0,147.0,1.0704
